"Comuna","Sub.Pacto","Partido","Votacion"
"IQUIQUE","SUBPACTO HUMANISTAS E INDEPENDIENTES","PARTIDO HUMANISTA",240
"IQUIQUE","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",629
"IQUIQUE","SUBPACTO IC, MAS REGION E INDEPENDIENTES","MAS REGION ",261
"IQUIQUE","SUBPACTO LIBERALES E INDEPENDIENTES","INDEPENDIENTE",387
"IQUIQUE","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",2389
"IQUIQUE","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",1030
"IQUIQUE","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",249
"IQUIQUE","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",2220
"IQUIQUE","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",7510
"IQUIQUE","SUBPACTO PRI E INDEPENDIENTES","INDEPENDIENTE",379
"IQUIQUE","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",1155
"IQUIQUE","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",1819
"IQUIQUE","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",2038
"IQUIQUE","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",546
"IQUIQUE","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",2102
"IQUIQUE",NA,"INDEPENDIENTE",8474
"IQUIQUE",NA,"PARTIDO ECOLOGISTA VERDE ",513
"IQUIQUE",NA,"PODER",921
"IQUIQUE",NA,"RENOVACION NACIONAL ",4138
"IQUIQUE",NA,"UNION DEMOCRATA INDEPENDIENTE",3805
NA,NA,NA,NA
"PICA","SUBPACTO HUMANISTAS E INDEPENDIENTES","INDEPENDIENTE",78
"PICA","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",109
"PICA","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",135
"PICA","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",235
"PICA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",584
"PICA","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",102
"PICA","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",83
"PICA","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",205
"PICA","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",215
"PICA",NA,"INDEPENDIENTE",46
"PICA",NA,"RENOVACION NACIONAL ",674
"PICA",NA,"UNION DEMOCRATA INDEPENDIENTE",545
NA,NA,NA,NA
"POZO ALMONTE","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",516
"POZO ALMONTE","SUBPACTO IC, MAS REGION E INDEPENDIENTES","PARTIDO IZQUIERDA CIUDADANA DE CHILE",85
"POZO ALMONTE","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",32
"POZO ALMONTE","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",214
"POZO ALMONTE","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",539
"POZO ALMONTE","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",3
"POZO ALMONTE","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",180
"POZO ALMONTE","SUBPACTO PRI E INDEPENDIENTES","INDEPENDIENTE",89
"POZO ALMONTE","SUBPACTO PRI E INDEPENDIENTES","PARTIDO REGIONALISTA INDEPENDIENTE",28
"POZO ALMONTE","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",250
"POZO ALMONTE","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",165
"POZO ALMONTE","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",156
"POZO ALMONTE","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",742
"POZO ALMONTE",NA,"AMPLITUD",87
"POZO ALMONTE",NA,"INDEPENDIENTE",409
"POZO ALMONTE",NA,"RENOVACION NACIONAL ",1083
"POZO ALMONTE",NA,"UNION DEMOCRATA INDEPENDIENTE",363
NA,NA,NA,NA
NA,NA,NA,NA
"ANTOFAGASTA","SUBPACTO EVOPOLI E INDEPENDIENTES","INDEPENDIENTE",2516
"ANTOFAGASTA","SUBPACTO EVOPOLI E INDEPENDIENTES","PARTIDO EVOLUCION POLITICA ",1641
"ANTOFAGASTA","SUBPACTO HUMANISTAS E INDEPENDIENTES","INDEPENDIENTE",199
"ANTOFAGASTA","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",710
"ANTOFAGASTA","SUBPACTO IGUALDAD PARA CHILE","PARTIDO IGUALDAD",175
"ANTOFAGASTA","SUBPACTO LIBERALES E INDEPENDIENTES","PARTIDO LIBERAL DE CHILE",430
"ANTOFAGASTA","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",452
"ANTOFAGASTA","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",2682
"ANTOFAGASTA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",3589
"ANTOFAGASTA","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",2842
"ANTOFAGASTA","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",476
"ANTOFAGASTA","SUBPACTO PRI E INDEPENDIENTES","INDEPENDIENTE",724
"ANTOFAGASTA","SUBPACTO PRI E INDEPENDIENTES","PARTIDO REGIONALISTA INDEPENDIENTE",884
"ANTOFAGASTA","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",2059
"ANTOFAGASTA","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",642
"ANTOFAGASTA","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",2466
"ANTOFAGASTA","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",2072
"ANTOFAGASTA","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",5029
"ANTOFAGASTA",NA,"AMPLITUD",973
"ANTOFAGASTA",NA,"INDEPENDIENTE",14517
"ANTOFAGASTA",NA,"RENOVACION NACIONAL ",5274
"ANTOFAGASTA",NA,"REVOLUCION DEMOCRATICA",2785
"ANTOFAGASTA",NA,"UNION DEMOCRATA INDEPENDIENTE",5524
NA,NA,NA,NA
"CALAMA","SUBPACTO EVOPOLI E INDEPENDIENTES","INDEPENDIENTE",449
"CALAMA","SUBPACTO HUMANISTAS E INDEPENDIENTES","PARTIDO HUMANISTA",327
"CALAMA","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",184
"CALAMA","SUBPACTO IC, MAS REGION E INDEPENDIENTES","MAS REGION ",265
"CALAMA","SUBPACTO IGUALDAD PARA CHILE","INDEPENDIENTE",838
"CALAMA","SUBPACTO IGUALDAD PARA CHILE","PARTIDO IGUALDAD",508
"CALAMA","SUBPACTO LIBERALES E INDEPENDIENTES","PARTIDO LIBERAL DE CHILE",442
"CALAMA","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",2124
"CALAMA","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",604
"CALAMA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",3077
"CALAMA","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",499
"CALAMA","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",192
"CALAMA","SUBPACTO PRI E INDEPENDIENTES","PARTIDO REGIONALISTA INDEPENDIENTE",3589
"CALAMA","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",1095
"CALAMA","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",1132
"CALAMA","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",251
"CALAMA","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",1792
"CALAMA","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",1853
"CALAMA",NA,"AMPLITUD",1121
"CALAMA",NA,"INDEPENDIENTE",3822
"CALAMA",NA,"PARTIDO ECOLOGISTA VERDE ",781
"CALAMA",NA,"RENOVACION NACIONAL ",4088
"CALAMA",NA,"UNION DEMOCRATA INDEPENDIENTE",1860
NA,NA,NA,NA
"MARIA ELENA","SUBPACTO EVOPOLI E INDEPENDIENTES","INDEPENDIENTE",147
"MARIA ELENA","SUBPACTO EVOPOLI E INDEPENDIENTES","PARTIDO EVOLUCION POLITICA ",185
"MARIA ELENA","SUBPACTO HUMANISTAS E INDEPENDIENTES","INDEPENDIENTE",185
"MARIA ELENA","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",66
"MARIA ELENA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",146
"MARIA ELENA","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",142
"MARIA ELENA","SUBPACTO PRI E INDEPENDIENTES","INDEPENDIENTE",177
"MARIA ELENA","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",191
"MARIA ELENA","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",94
"MARIA ELENA","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",49
"MARIA ELENA","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",75
"MARIA ELENA",NA,"INDEPENDIENTE",170
"MARIA ELENA",NA,"RENOVACION NACIONAL ",453
"MARIA ELENA",NA,"UNION DEMOCRATA INDEPENDIENTE",86
NA,NA,NA,NA
"MEJILLONES","SUBPACTO HUMANISTAS E INDEPENDIENTES","INDEPENDIENTE",25
"MEJILLONES","SUBPACTO HUMANISTAS E INDEPENDIENTES","PARTIDO HUMANISTA",437
"MEJILLONES","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",24
"MEJILLONES","SUBPACTO IC, MAS REGION E INDEPENDIENTES","MAS REGION ",19
"MEJILLONES","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",14
"MEJILLONES","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",71
"MEJILLONES","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",100
"MEJILLONES","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",225
"MEJILLONES","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",614
"MEJILLONES","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",669
"MEJILLONES","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",278
"MEJILLONES","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",212
"MEJILLONES","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",182
"MEJILLONES","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",555
"MEJILLONES",NA,"RENOVACION NACIONAL ",1107
NA,NA,NA,NA
"OLLAGUE","SUBPACTO LIBERALES E INDEPENDIENTES","PARTIDO LIBERAL DE CHILE",14
"OLLAGUE","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",30
"OLLAGUE","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",73
"OLLAGUE","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",50
"OLLAGUE","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",111
"OLLAGUE","SUBPACTO PRI E INDEPENDIENTES","INDEPENDIENTE",91
"OLLAGUE","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",35
"OLLAGUE","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",4
"OLLAGUE",NA,"AMPLITUD",278
"OLLAGUE",NA,"INDEPENDIENTE",172
"OLLAGUE",NA,"RENOVACION NACIONAL ",45
"OLLAGUE",NA,"UNION DEMOCRATA INDEPENDIENTE",140
NA,NA,NA,NA
"SAN PEDRO DE ATACAMA","SUBPACTO EVOPOLI E INDEPENDIENTES","INDEPENDIENTE",23
"SAN PEDRO DE ATACAMA","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",131
"SAN PEDRO DE ATACAMA","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",33
"SAN PEDRO DE ATACAMA","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",301
"SAN PEDRO DE ATACAMA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",95
"SAN PEDRO DE ATACAMA","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",26
"SAN PEDRO DE ATACAMA","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",32
"SAN PEDRO DE ATACAMA","SUBPACTO PRI E INDEPENDIENTES","INDEPENDIENTE",291
"SAN PEDRO DE ATACAMA","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",29
"SAN PEDRO DE ATACAMA","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",288
"SAN PEDRO DE ATACAMA","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",121
"SAN PEDRO DE ATACAMA","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",172
"SAN PEDRO DE ATACAMA",NA,"AMPLITUD",50
"SAN PEDRO DE ATACAMA",NA,"INDEPENDIENTE",1076
"SAN PEDRO DE ATACAMA",NA,"RENOVACION NACIONAL ",146
"SAN PEDRO DE ATACAMA",NA,"UNION DEMOCRATA INDEPENDIENTE",17
NA,NA,NA,NA
"SIERRA GORDA","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",3
"SIERRA GORDA","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",91
"SIERRA GORDA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",98
"SIERRA GORDA","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",184
"SIERRA GORDA","SUBPACTO PRI E INDEPENDIENTES","PARTIDO REGIONALISTA INDEPENDIENTE",17
"SIERRA GORDA","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",118
"SIERRA GORDA","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",167
"SIERRA GORDA",NA,"INDEPENDIENTE",238
"SIERRA GORDA",NA,"RENOVACION NACIONAL ",163
"SIERRA GORDA",NA,"UNION DEMOCRATA INDEPENDIENTE",368
NA,NA,NA,NA
"TALTAL","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",72
"TALTAL","SUBPACTO IC, MAS REGION E INDEPENDIENTES","MAS REGION ",218
"TALTAL","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",110
"TALTAL","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",14
"TALTAL","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",627
"TALTAL","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",579
"TALTAL","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",464
"TALTAL","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",117
"TALTAL","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",106
"TALTAL","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",886
"TALTAL",NA,"INDEPENDIENTE",281
"TALTAL",NA,"RENOVACION NACIONAL ",665
"TALTAL",NA,"UNION DEMOCRATA INDEPENDIENTE",577
NA,NA,NA,NA
"TOCOPILLA","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",222
"TOCOPILLA","SUBPACTO IC, MAS REGION E INDEPENDIENTES","MAS REGION ",144
"TOCOPILLA","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",282
"TOCOPILLA","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",489
"TOCOPILLA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",316
"TOCOPILLA","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",296
"TOCOPILLA","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",58
"TOCOPILLA","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",1146
"TOCOPILLA","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",405
"TOCOPILLA","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",1150
"TOCOPILLA","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",218
"TOCOPILLA","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",101
"TOCOPILLA",NA,"INDEPENDIENTE",238
"TOCOPILLA",NA,"RENOVACION NACIONAL ",537
"TOCOPILLA",NA,"UNION DEMOCRATA INDEPENDIENTE",2512
NA,NA,NA,NA
NA,NA,NA,NA
"ALTO DEL CARMEN","SUBPACTO FREP E INDEPENDIENTES","FRENTE REGIONAL Y POPULAR",104
"ALTO DEL CARMEN","SUBPACTO FREP E INDEPENDIENTES","INDEPENDIENTE",244
"ALTO DEL CARMEN","SUBPACTO HUMANISTAS E INDEPENDIENTES","PARTIDO HUMANISTA",22
"ALTO DEL CARMEN","SUBPACTO IC, MAS REGION E INDEPENDIENTES","MAS REGION ",20
"ALTO DEL CARMEN","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",57
"ALTO DEL CARMEN","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",113
"ALTO DEL CARMEN","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",117
"ALTO DEL CARMEN","SUBPACTO PRI E INDEPENDIENTES","INDEPENDIENTE",86
"ALTO DEL CARMEN","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",130
"ALTO DEL CARMEN","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",450
"ALTO DEL CARMEN","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",233
"ALTO DEL CARMEN",NA,"INDEPENDIENTE",421
"ALTO DEL CARMEN",NA,"RENOVACION NACIONAL ",441
"ALTO DEL CARMEN",NA,"UNION DEMOCRATA INDEPENDIENTE",57
NA,NA,NA,NA
"CALDERA","SUBPACTO FREP E INDEPENDIENTES","FRENTE REGIONAL Y POPULAR",84
"CALDERA","SUBPACTO FREP E INDEPENDIENTES","INDEPENDIENTE",243
"CALDERA","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",284
"CALDERA","SUBPACTO IC, MAS REGION E INDEPENDIENTES","PARTIDO IZQUIERDA CIUDADANA DE CHILE",77
"CALDERA","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",392
"CALDERA","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",504
"CALDERA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",49
"CALDERA","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",177
"CALDERA","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",406
"CALDERA","SUBPACTO PRI E INDEPENDIENTES","PARTIDO REGIONALISTA INDEPENDIENTE",19
"CALDERA","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",176
"CALDERA","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",468
"CALDERA","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",1347
"CALDERA",NA,"AMPLITUD",32
"CALDERA",NA,"INDEPENDIENTE",697
"CALDERA",NA,"RENOVACION NACIONAL ",1278
"CALDERA",NA,"UNION DEMOCRATA INDEPENDIENTE",69
NA,NA,NA,NA
"CHAÑARAL","SUBPACTO FREP E INDEPENDIENTES","INDEPENDIENTE",624
"CHAÑARAL","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",181
"CHAÑARAL","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",656
"CHAÑARAL","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",394
"CHAÑARAL","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",120
"CHAÑARAL","SUBPACTO PRI E INDEPENDIENTES","INDEPENDIENTE",348
"CHAÑARAL","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",52
"CHAÑARAL","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",142
"CHAÑARAL","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",621
"CHAÑARAL","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",372
"CHAÑARAL",NA,"INDEPENDIENTE",33
"CHAÑARAL",NA,"PARTIDO ECOLOGISTA VERDE ",416
"CHAÑARAL",NA,"RENOVACION NACIONAL ",824
"CHAÑARAL",NA,"UNION DEMOCRATA INDEPENDIENTE",537
NA,NA,NA,NA
"COPIAPO","SUBPACTO EVOPOLI E INDEPENDIENTES","INDEPENDIENTE",215
"COPIAPO","SUBPACTO EVOPOLI E INDEPENDIENTES","PARTIDO EVOLUCION POLITICA ",420
"COPIAPO","SUBPACTO FREP E INDEPENDIENTES","FRENTE REGIONAL Y POPULAR",551
"COPIAPO","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",1418
"COPIAPO","SUBPACTO IC, MAS REGION E INDEPENDIENTES","PARTIDO IZQUIERDA CIUDADANA DE CHILE",433
"COPIAPO","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",458
"COPIAPO","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",5040
"COPIAPO","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",1558
"COPIAPO","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",431
